End Date,Start Date,Start Time,Subject,End Time,All day,Calendar Name,Repeats,Repeats Until,Created By,Updated By,Creation Date,Last Update Date,Who,Location,Description,Attachments
07/03/2023,07/03/2023,14:30,269494-705 (isne),16:00,,ISNE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:46,,myo,202-1,,
07/03/2023,07/03/2023,16:00,261409-001/801 (cpe),17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:45,,chinawat,402,,
07/03/2023,07/03/2023,16:00,261494-001/801 (cpe),17:30,,CPE,"Weekly on Tuesday and Friday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:47,,trasapong,518,,
08/03/2023,08/03/2023,8:00,259201-001,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:47,,dome,314-315,,
08/03/2023,08/03/2023,8:00,259201-002,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 14, 2023",14/3/2023,MEK WISARUT,,09/03/2023 21:48,,patiwet,302,,
08/03/2023,08/03/2023,8:00,259201-003,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,lachana,303,,
08/03/2023,08/03/2023,8:00,259201-701,13:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,santi,304,,
08/03/2023,08/03/2023,9:00,269382-001/801,12:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,kasemsit,AccBA-2601,,
08/03/2023,08/03/2023,9:30,261796-001 (mcpe),12:30,,Grad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,trasapong,404,,
08/03/2023,08/03/2023,9:30,269370-011/701 (isne3),12:30,,ISNE,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:48,,sakgasit,201,,
08/03/2023,08/03/2023,13:00,261405-001/801 (cpe4/cpe4s) | 269400-701 (isne4),16:00,,CPE|ISNE,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,dome,521/412,,
08/03/2023,08/03/2023,13:00,259194-003/004/701/801 (cpe3/cpe3s/isne3),15:00,,CPE|ISNE,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,patiwet,516,,
08/03/2023,08/03/2023,13:00,259201-004,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,kampol,314-315,,
08/03/2023,08/03/2023,13:00,259201-005,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,natthanan,304,,
08/03/2023,08/03/2023,13:00,259201-006,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,yuthapong,303,,
08/03/2023,08/03/2023,13:00,259201-007,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:49,,trasapong,302,,
08/03/2023,08/03/2023,13:00,261112-048/848,16:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,sakgasit,online,,
08/03/2023,08/03/2023,13:00,269281-001/801,16:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,santi,AccBA-2601,,
08/03/2023,08/03/2023,13:00,261200-002 (reai2),15:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:50,,navadon,413A,,
08/03/2023,08/03/2023,15:00,261200-002 (reai2) lab,18:00,,Xternal > Undergrad,"Weekly on Wednesday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:51,,navadon,413A,,
09/03/2023,09/03/2023,8:00,261444-001/801 (cpe) | 261742-001 (mcpe),9:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:29,,juggapong,RTT3,,
09/03/2023,09/03/2023,8:00,259201-009,13:00,,Xternal > Undergrad,"Weekly on Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:51,,kampol,314-315,,
09/03/2023,09/03/2023,8:00,259201-010,13:00,,Xternal > Undergrad,"Weekly on Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:51,,thanatip,314-315,,
09/03/2023,09/03/2023,9:30,261449-001/801 (cpe),11:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,lachana,518,,
09/03/2023,09/03/2023,9:30,261200-001/801 (cpe2/cpe2s),10:30,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,chinawat,516,,
09/03/2023,09/03/2023,9:30,261458-001/801 (cpe) | 261895-001 (mcpe),11:00,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,karn,521,,
09/03/2023,09/03/2023,9:30,261494-003/803 (cpe) | 269494-703 (isne),11:00,,CPE|ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,dome,402,,
09/03/2023,09/03/2023,9:30,261755-001 (mcpe),11:00,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:30,,sansanee,404,,
09/03/2023,09/03/2023,10:30,261200-001/801 (cpe2/cpe2s) lab,12:00,,CPE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,chinawat,516,,
09/03/2023,09/03/2023,11:00,261441-001/801 (cpe) | 261722-001 (mcpe),12:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,paskorn,518,,
09/03/2023,09/03/2023,11:00,261479-001/801 (cpe) | 261792-001 (mcpe),12:30,,CPE|Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:31,,dome,402,,
09/03/2023,09/03/2023,11:00,261751-001 (mcpe),12:30,,Grad,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:32,,sansanee,404,,
09/03/2023,09/03/2023,11:00,261438-701 (isne),12:30,,ISNE,"Weekly on Monday and Thursday until March 17, 2023",17/3/2023,MEK WISARUT,,09/03/2023 21:33,,yuthapong,202-1,,
